month,shop_id,currency,budget_revenue
2024-01-01,AT,EUR,119637.98
2024-02-01,AT,EUR,106510.24
2024-03-01,AT,EUR,120568.71
2024-04-01,AT,EUR,95169.97
2024-05-01,AT,EUR,112248.05
2024-06-01,AT,EUR,115671.3
2024-07-01,AT,EUR,138100.31
2024-08-01,AT,EUR,112970.66
2024-09-01,AT,EUR,110932.45
2024-10-01,AT,EUR,114499.12
2024-11-01,AT,EUR,164848.14
2024-12-01,AT,EUR,153820.15
2025-01-01,AT,EUR,123907.63
2025-02-01,AT,EUR,109879.56
2025-03-01,AT,EUR,119033.0
2025-04-01,AT,EUR,131814.61
2025-05-01,AT,EUR,130908.83
2025-06-01,AT,EUR,127399.18
2025-07-01,AT,EUR,151710.78
2025-08-01,AT,EUR,139428.76
2025-09-01,AT,EUR,118941.27
2025-10-01,AT,EUR,118400.81
2025-11-01,AT,EUR,186574.48
2025-12-01,AT,EUR,163000.57
2024-01-01,CH,CHF,75313.95
2024-02-01,CH,CHF,67936.55
2024-03-01,CH,CHF,72549.75
2024-04-01,CH,CHF,68534.46
2024-05-01,CH,CHF,70087.94
2024-06-01,CH,CHF,73710.21
2024-07-01,CH,CHF,93790.01
2024-08-01,CH,CHF,83188.57
2024-09-01,CH,CHF,76329.76
2024-10-01,CH,CHF,81495.56
2024-11-01,CH,CHF,127122.04
2024-12-01,CH,CHF,100565.07
2025-01-01,CH,CHF,84582.15
2025-02-01,CH,CHF,76247.74
2025-03-01,CH,CHF,84196.16
2025-04-01,CH,CHF,80108.32
2025-05-01,CH,CHF,78526.37
2025-06-01,CH,CHF,82335.14
2025-07-01,CH,CHF,106122.17
2025-08-01,CH,CHF,82121.47
2025-09-01,CH,CHF,76962.65
2025-10-01,CH,CHF,101739.39
2025-11-01,CH,CHF,124530.7
2025-12-01,CH,CHF,103754.54
2024-01-01,DE,EUR,382656.22
2024-02-01,DE,EUR,359930.67
2024-03-01,DE,EUR,387558.25
2024-04-01,DE,EUR,363140.64
2024-05-01,DE,EUR,382544.96
2024-06-01,DE,EUR,359017.7
2024-07-01,DE,EUR,470552.45
2024-08-01,DE,EUR,397259.28
2024-09-01,DE,EUR,359418.51
2024-10-01,DE,EUR,395394.69
2024-11-01,DE,EUR,559787.81
2024-12-01,DE,EUR,519858.2
2025-01-01,DE,EUR,410199.89
2025-02-01,DE,EUR,347946.44
2025-03-01,DE,EUR,435942.2
2025-04-01,DE,EUR,383281.78
2025-05-01,DE,EUR,435068.36
2025-06-01,DE,EUR,393559.22
2025-07-01,DE,EUR,519576.94
2025-08-01,DE,EUR,452163.68
2025-09-01,DE,EUR,442655.35
2025-10-01,DE,EUR,444073.21
2025-11-01,DE,EUR,683513.63
2025-12-01,DE,EUR,608986.13
