date,shop_id,spend_amount,currency
2024-01-01,DE,338.13,EUR
2024-01-01,AT,55.16,EUR
2024-01-01,CH,56.5,CHF
2024-01-02,DE,271.21,EUR
2024-01-02,AT,80.52,EUR
2024-01-02,CH,83.8,CHF
2024-01-03,DE,241.13,EUR
2024-01-03,AT,93.12,EUR
2024-01-03,CH,69.88,CHF
2024-01-04,DE,400.28,EUR
2024-01-04,AT,56.71,EUR
2024-01-04,CH,12.07,CHF
2024-01-05,DE,346.29,EUR
2024-01-05,AT,103.06,EUR
2024-01-05,CH,66.33,CHF
2024-01-06,DE,436.16,EUR
2024-01-06,AT,100.39,EUR
2024-01-06,CH,68.17,CHF
2024-01-07,DE,609.24,EUR
2024-01-07,AT,199.75,EUR
2024-01-07,CH,82.35,CHF
2024-01-08,DE,247.91,EUR
2024-01-08,AT,102.75,EUR
2024-01-08,CH,93.29,CHF
2024-01-09,DE,363.24,EUR
2024-01-09,AT,104.35,EUR
2024-01-09,CH,62.42,CHF
2024-01-10,DE,251.32,EUR
2024-01-10,AT,88.48,EUR
2024-01-10,CH,93.68,CHF
2024-01-11,DE,332.02,EUR
2024-01-11,AT,148.06,EUR
2024-01-11,CH,70.25,CHF
2024-01-12,DE,353.86,EUR
2024-01-12,AT,107.09,EUR
2024-01-12,CH,69.96,CHF
2024-01-13,DE,357.45,EUR
2024-01-13,AT,152.29,EUR
2024-01-13,CH,39.1,CHF
2024-01-14,DE,568.75,EUR
2024-01-14,AT,156.55,EUR
2024-01-14,CH,127.13,CHF
2024-01-15,DE,316.97,EUR
2024-01-15,AT,139.69,EUR
2024-01-15,CH,45.44,CHF
2024-01-16,DE,373.32,EUR
2024-01-16,AT,102.21,EUR
2024-01-16,CH,71.37,CHF
2024-01-17,DE,307.83,EUR
2024-01-17,AT,113.0,EUR
2024-01-17,CH,123.86,CHF
2024-01-18,DE,313.35,EUR
2024-01-18,AT,71.74,EUR
2024-01-18,CH,47.89,CHF
2024-01-19,DE,367.28,EUR
2024-01-19,AT,87.92,EUR
2024-01-19,CH,109.02,CHF
2024-01-20,DE,500.12,EUR
2024-01-20,AT,110.12,EUR
2024-01-20,CH,98.52,CHF
2024-01-21,DE,549.4,EUR
2024-01-21,AT,107.63,EUR
2024-01-21,CH,77.24,CHF
2024-01-22,DE,320.86,EUR
2024-01-22,AT,123.0,EUR
2024-01-22,CH,59.94,CHF
2024-01-23,DE,305.08,EUR
2024-01-23,AT,135.82,EUR
2024-01-23,CH,60.76,CHF
2024-01-24,DE,225.69,EUR
2024-01-24,AT,62.62,EUR
2024-01-24,CH,43.12,CHF
2024-01-25,DE,331.06,EUR
2024-01-25,AT,119.14,EUR
2024-01-25,CH,70.23,CHF
2024-01-26,DE,382.49,EUR
2024-01-26,AT,117.46,EUR
2024-01-26,CH,45.13,CHF
2024-01-27,DE,438.13,EUR
2024-01-27,AT,175.94,EUR
2024-01-27,CH,95.48,CHF
2024-01-28,DE,559.73,EUR
2024-01-28,AT,156.06,EUR
2024-01-28,CH,112.32,CHF
2024-01-29,DE,341.73,EUR
2024-01-29,AT,110.32,EUR
2024-01-29,CH,51.37,CHF
2024-01-30,DE,422.02,EUR
2024-01-30,AT,96.78,EUR
2024-01-30,CH,59.03,CHF
2024-01-31,DE,380.1,EUR
2024-01-31,AT,88.18,EUR
2024-01-31,CH,49.69,CHF
2024-02-01,DE,355.65,EUR
2024-02-01,AT,93.82,EUR
2024-02-01,CH,69.53,CHF
2024-02-02,DE,460.97,EUR
2024-02-02,AT,152.25,EUR
2024-02-02,CH,111.01,CHF
2024-02-03,DE,319.69,EUR
2024-02-03,AT,110.59,EUR
2024-02-03,CH,91.8,CHF
2024-02-04,DE,523.38,EUR
2024-02-04,AT,129.65,EUR
2024-02-04,CH,69.92,CHF
2024-02-05,DE,384.03,EUR
2024-02-05,AT,121.54,EUR
