product_id,price_tier,base_retail_price,dbt_valid_from,dbt_valid_to
10000,mid,99.99,2024-01-01,
10001,premium,310.47,2024-01-01,
10002,premium,195.43,2024-01-01,2024-05-01
10003,budget,57.62,2024-01-01,
10004,budget,79.13,2024-01-01,
10005,premium,209.42,2024-01-01,2024-10-01
10006,budget,58.9,2024-01-01,2025-05-01
10007,premium,303.61,2024-01-01,
10008,mid,165.28,2024-01-01,2025-05-01
10009,mid,96.1,2024-01-01,2024-10-01
10010,budget,44.74,2024-01-01,2024-05-01
10011,premium,239.11,2024-01-01,
10012,mid,114.75,2024-01-01,
10013,premium,353.0,2024-01-01,
10014,budget,48.61,2024-01-01,
10015,mid,97.56,2024-01-01,
10016,mid,81.71,2024-01-01,2025-10-01
10017,mid,83.78,2024-01-01,
10018,budget,62.18,2024-01-01,
10019,premium,229.52,2024-01-01,
10020,budget,42.92,2024-01-01,2025-05-01
10021,mid,134.33,2024-01-01,2025-10-01
10022,mid,161.45,2024-01-01,2025-05-01
10023,mid,110.9,2024-01-01,
10024,mid,124.83,2024-01-01,2025-10-01
10025,budget,69.25,2024-01-01,
10026,budget,50.71,2024-01-01,2024-05-01
10027,mid,175.32,2024-01-01,2025-10-01
10028,mid,99.42,2024-01-01,
10029,mid,87.89,2024-01-01,
10030,premium,206.58,2024-01-01,
10031,mid,160.93,2024-01-01,
10032,premium,338.83,2024-01-01,2024-10-01
10033,mid,125.68,2024-01-01,
10034,premium,340.49,2024-01-01,2025-05-01
10035,premium,292.27,2024-01-01,2024-05-01
10036,budget,70.15,2024-01-01,
10037,premium,292.98,2024-01-01,
10038,mid,119.97,2024-01-01,2024-05-01
10039,premium,185.15,2024-01-01,
10040,budget,75.53,2024-01-01,
10041,mid,122.93,2024-01-01,
10042,premium,311.34,2024-01-01,
10043,budget,50.43,2024-01-01,
10044,budget,64.83,2024-01-01,
10045,budget,23.96,2024-01-01,
10046,budget,69.29,2024-01-01,
10047,mid,125.28,2024-01-01,
10048,premium,200.62,2024-01-01,
10049,mid,156.31,2024-01-01,
10050,premium,274.32,2024-01-01,
10051,budget,60.94,2024-01-01,
10052,budget,51.85,2024-01-01,
10053,mid,118.18,2024-01-01,
10054,mid,102.56,2024-01-01,
10055,mid,119.54,2024-01-01,
10056,budget,34.91,2024-01-01,2024-05-01
10057,mid,139.44,2024-01-01,
10058,budget,59.55,2024-01-01,
10059,mid,121.73,2024-01-01,
10060,mid,101.49,2024-01-01,
10061,budget,76.87,2024-01-01,
10062,mid,93.98,2024-01-01,2024-05-01
10063,budget,43.14,2024-01-01,2024-10-01
10064,mid,142.04,2024-01-01,
10065,mid,144.47,2024-01-01,
10066,budget,74.44,2024-01-01,2024-10-01
10067,mid,156.34,2024-01-01,
10068,mid,102.39,2024-01-01,
10069,mid,81.74,2024-01-01,
10070,mid,115.18,2024-01-01,
10071,budget,71.9,2024-01-01,
10072,mid,100.73,2024-01-01,
10073,budget,66.76,2024-01-01,
10074,premium,324.52,2024-01-01,2025-10-01
10075,mid,123.67,2024-01-01,2024-10-01
10076,mid,85.64,2024-01-01,2024-05-01
10077,mid,172.39,2024-01-01,2025-05-01
10078,budget,76.14,2024-01-01,
10079,mid,127.14,2024-01-01,
10080,mid,165.19,2024-01-01,
10081,mid,128.32,2024-01-01,2024-05-01
10082,budget,59.25,2024-01-01,
10083,mid,99.18,2024-01-01,
10084,budget,69.06,2024-01-01,2024-10-01
