product_id,product_name,category,subcategory,price_tier,base_retail_price
10004,Ausrüstung Model 4,Ausrüstung,,budget,79.13
10006,Ausrüstung Model 6,Ausrüstung,,budget,58.9
10007,Schuhe Model 7,Schuhe,,premium,303.61
10008,Bekleidung Model 8,Bekleidung,,mid,165.28
10010,Ausrüstung Model 10,Ausrüstung,,budget,44.74
10013,Ausrüstung Model 13,Ausrüstung,,premium,353.0
10014,Ausrüstung Model 14,Ausrüstung,,budget,48.61
10015,Ausrüstung Model 15,Ausrüstung,,mid,97.56
10017,Bekleidung Model 17,Bekleidung,,mid,83.78
10020,Bekleidung Model 20,Bekleidung,,budget,42.92
10021,Ausrüstung Model 21,Ausrüstung,,mid,134.33
10024,Bekleidung Model 24,Bekleidung,,mid,124.83
10025,Schuhe Model 25,Schuhe,,budget,69.25
10026,Ausrüstung Model 26,Ausrüstung,,budget,50.71
10027,Bekleidung Model 27,Bekleidung,,mid,175.32
10028,Bekleidung Model 28,Bekleidung,,mid,99.42
10033,Schuhe Model 33,Schuhe,,mid,125.68
10036,Bekleidung Model 36,Bekleidung,,budget,70.15
10038,Bekleidung Model 38,Bekleidung,,mid,119.97
10040,Ausrüstung Model 40,Ausrüstung,,budget,75.53
10043,Schuhe Model 43,Schuhe,,budget,50.43
10044,Ausrüstung Model 44,Ausrüstung,,budget,64.83
10045,Bekleidung Model 45,Bekleidung,,budget,23.96
10046,Bekleidung Model 46,Bekleidung,,budget,69.29
10048,Bekleidung Model 48,Bekleidung,,premium,200.62
10049,Ausrüstung Model 49,Ausrüstung,,mid,156.31
10053,Schuhe Model 53,Schuhe,,mid,118.18
10054,Bekleidung Model 54,Bekleidung,,mid,102.56
10056,Ausrüstung Model 56,Ausrüstung,,budget,34.91
10058,Ausrüstung Model 58,Ausrüstung,,budget,59.55
10062,Schuhe Model 62,Schuhe,,mid,93.98
10063,Bekleidung Model 63,Bekleidung,,budget,43.14
10064,Ausrüstung Model 64,Ausrüstung,,mid,142.04
10065,Bekleidung Model 65,Bekleidung,,mid,144.47
10068,Ausrüstung Model 68,Ausrüstung,,mid,102.39
10069,Schuhe Model 69,Schuhe,,mid,81.74
10072,Ausrüstung Model 72,Ausrüstung,,mid,100.73
10073,Schuhe Model 73,Schuhe,,budget,66.76
10074,Schuhe Model 74,Schuhe,,premium,324.52
10075,Schuhe Model 75,Schuhe,,mid,123.67
10081,Bekleidung Model 81,Bekleidung,,mid,128.32
10082,Bekleidung Model 82,Bekleidung,,budget,59.25
10083,Ausrüstung Model 83,Ausrüstung,,mid,99.18
10084,Bekleidung Model 84,Bekleidung,,budget,69.06
10085,Bekleidung Model 85,Bekleidung,,budget,20.47
10086,Schuhe Model 86,Schuhe,,budget,56.96
10087,Bekleidung Model 87,Bekleidung,,premium,184.96
10088,Schuhe Model 88,Schuhe,,premium,276.58
10089,Bekleidung Model 89,Bekleidung,,budget,70.15
10090,Ausrüstung Model 90,Ausrüstung,,premium,222.2
10093,Bekleidung Model 93,Bekleidung,,mid,159.45
10095,Bekleidung Model 95,Bekleidung,,budget,45.91
10096,Bekleidung Model 96,Bekleidung,,budget,31.07
10097,Bekleidung Model 97,Bekleidung,,mid,92.03
10099,Ausrüstung Model 99,Ausrüstung,,budget,54.84
10100,Ausrüstung Model 100,Ausrüstung,,mid,94.39
10101,Bekleidung Model 101,Bekleidung,,budget,42.57
10103,Bekleidung Model 103,Bekleidung,,mid,138.24
10104,Schuhe Model 104,Schuhe,,mid,121.03
10105,Ausrüstung Model 105,Ausrüstung,,premium,418.2
10106,Bekleidung Model 106,Bekleidung,,mid,85.32
10107,Schuhe Model 107,Schuhe,,budget,78.99
10109,Ausrüstung Model 109,Ausrüstung,,premium,216.42
10110,Ausrüstung Model 110,Ausrüstung,,budget,71.8
10111,Ausrüstung Model 111,Ausrüstung,,mid,129.9
10112,Schuhe Model 112,Schuhe,,budget,78.43
10113,Schuhe Model 113,Schuhe,,budget,60.86
10114,Bekleidung Model 114,Bekleidung,,mid,141.98
10115,Schuhe Model 115,Schuhe,,premium,315.67
10116,Schuhe Model 116,Schuhe,,budget,60.38
10117,Ausrüstung Model 117,Ausrüstung,,premium,220.1
10118,Schuhe Model 118,Schuhe,,mid,87.77
10123,Ausrüstung Model 123,Ausrüstung,,mid,82.96
10124,Ausrüstung Model 124,Ausrüstung,,mid,179.35
10125,Bekleidung Model 125,Bekleidung,,budget,79.03
10127,Schuhe Model 127,Schuhe,,budget,77.19
10129,Bekleidung Model 129,Bekleidung,,mid,128.15
10130,Bekleidung Model 130,Bekleidung,,mid,110.01
10133,Bekleidung Model 133,Bekleidung,,mid,127.85
10134,Schuhe Model 134,Schuhe,,budget,52.74
10135,Bekleidung Model 135,Bekleidung,,mid,112.85
10136,Bekleidung Model 136,Bekleidung,,budget,54.73
10137,Schuhe Model 137,Schuhe,,mid,161.63
10138,Bekleidung Model 138,Bekleidung,,budget,51.52
10139,Schuhe Model 139,Schuhe,,budget,49.28
10141,Ausrüstung Model 141,Ausrüstung,,mid,153.49
10143,Bekleidung Model 143,Bekleidung,,budget,47.34
10144,Ausrüstung Model 144,Ausrüstung,,premium,232.06
10145,Ausrüstung Model 145,Ausrüstung,,budget,46.38
10147,Bekleidung Model 147,Bekleidung,,budget,39.39
10148,Ausrüstung Model 148,Ausrüstung,,mid,94.04
10149,Ausrüstung Model 149,Ausrüstung,,mid,153.42
10150,Schuhe Model 150,Schuhe,,budget,79.03
10152,Ausrüstung Model 152,Ausrüstung,,premium,300.19
10153,Bekleidung Model 153,Bekleidung,,budget,57.62
10158,Ausrüstung Model 158,Ausrüstung,,budget,26.31
10159,Schuhe Model 159,Schuhe,,mid,81.58
10160,Bekleidung Model 160,Bekleidung,,mid,115.15
10163,Bekleidung Model 163,Bekleidung,,budget,56.69
10164,Ausrüstung Model 164,Ausrüstung,,mid,157.69
10166,Bekleidung Model 166,Bekleidung,,mid,164.13
10167,Ausrüstung Model 167,Ausrüstung,,mid,177.34
10170,Bekleidung Model 170,Bekleidung,,budget,60.79
10171,Ausrüstung Model 171,Ausrüstung,,mid,109.64
10172,Bekleidung Model 172,Bekleidung,,mid,103.2
10173,Ausrüstung Model 173,Ausrüstung,,mid,110.53
10175,Ausrüstung Model 175,Ausrüstung,,premium,634.46
10176,Bekleidung Model 176,Bekleidung,,mid,137.37
10178,Schuhe Model 178,Schuhe,,premium,221.54
10180,Bekleidung Model 180,Bekleidung,,budget,23.98
10182,Schuhe Model 182,Schuhe,,budget,47.68
10184,Ausrüstung Model 184,Ausrüstung,,mid,150.34
10186,Schuhe Model 186,Schuhe,,mid,143.09
10188,Bekleidung Model 188,Bekleidung,,mid,133.97
10189,Ausrüstung Model 189,Ausrüstung,,budget,31.57
10190,Ausrüstung Model 190,Ausrüstung,,mid,175.03
10191,Schuhe Model 191,Schuhe,,mid,178.65
10193,Bekleidung Model 193,Bekleidung,,mid,161.78
10194,Bekleidung Model 194,Bekleidung,,mid,99.79
10195,Bekleidung Model 195,Bekleidung,,budget,63.49
10196,Schuhe Model 196,Schuhe,,mid,166.73
10197,Schuhe Model 197,Schuhe,,premium,378.17
10198,Schuhe Model 198,Schuhe,,mid,133.08
10202,Ausrüstung Model 202,Ausrüstung,,premium,265.4
10206,Ausrüstung Model 206,Ausrüstung,,premium,207.53
10209,Ausrüstung Model 209,Ausrüstung,,mid,103.85
10211,Bekleidung Model 211,Bekleidung,,budget,45.27
10213,Ausrüstung Model 213,Ausrüstung,,premium,193.27
10214,Schuhe Model 214,Schuhe,,mid,177.42
10215,Ausrüstung Model 215,Ausrüstung,,budget,77.83
10219,Schuhe Model 219,Schuhe,,premium,310.57
10221,Bekleidung Model 221,Bekleidung,,budget,38.6
10223,Bekleidung Model 223,Bekleidung,,premium,199.86
10224,Ausrüstung Model 224,Ausrüstung,,premium,234.64
10228,Schuhe Model 228,Schuhe,,premium,412.76
10229,Bekleidung Model 229,Bekleidung,,mid,88.02
10233,Bekleidung Model 233,Bekleidung,,mid,93.16
10234,Ausrüstung Model 234,Ausrüstung,,mid,85.34
10235,Schuhe Model 235,Schuhe,,mid,153.81
10237,Ausrüstung Model 237,Ausrüstung,,premium,380.62
10239,Ausrüstung Model 239,Ausrüstung,,mid,103.77
10240,Schuhe Model 240,Schuhe,,budget,74.08
10241,Schuhe Model 241,Schuhe,,mid,114.1
10242,Schuhe Model 242,Schuhe,,mid,124.94
10247,Schuhe Model 247,Schuhe,,mid,98.16
10250,Ausrüstung Model 250,Ausrüstung,,premium,264.07
10251,Bekleidung Model 251,Bekleidung,,mid,85.11
10253,Bekleidung Model 253,Bekleidung,,budget,37.45
10254,Ausrüstung Model 254,Ausrüstung,,mid,117.33
10255,Bekleidung Model 255,Bekleidung,,premium,221.72
10257,Bekleidung Model 257,Bekleidung,,budget,33.05
10258,Bekleidung Model 258,Bekleidung,,budget,70.28
10259,Ausrüstung Model 259,Ausrüstung,,mid,122.62
10260,Bekleidung Model 260,Bekleidung,,budget,20.0
10261,Schuhe Model 261,Schuhe,,mid,118.26
10262,Ausrüstung Model 262,Ausrüstung,,mid,126.26
10263,Bekleidung Model 263,Bekleidung,,mid,123.68
10264,Schuhe Model 264,Schuhe,,premium,306.27
10265,Schuhe Model 265,Schuhe,,premium,213.42
10266,Bekleidung Model 266,Bekleidung,,budget,69.32
10267,Schuhe Model 267,Schuhe,,budget,69.88
10268,Bekleidung Model 268,Bekleidung,,premium,381.46
10269,Ausrüstung Model 269,Ausrüstung,,mid,154.69
10271,Schuhe Model 271,Schuhe,,mid,120.05
10274,Bekleidung Model 274,Bekleidung,,budget,57.73
10275,Bekleidung Model 275,Bekleidung,,budget,58.67
10276,Schuhe Model 276,Schuhe,,mid,119.54
10277,Bekleidung Model 277,Bekleidung,,budget,58.79
10278,Schuhe Model 278,Schuhe,,mid,85.08
10281,Bekleidung Model 281,Bekleidung,,premium,200.82
10283,Ausrüstung Model 283,Ausrüstung,,premium,318.64
10286,Bekleidung Model 286,Bekleidung,,budget,66.31
10287,Bekleidung Model 287,Bekleidung,,budget,65.18
10288,Ausrüstung Model 288,Ausrüstung,,budget,55.41
10289,Bekleidung Model 289,Bekleidung,,budget,51.08
10293,Bekleidung Model 293,Bekleidung,,mid,174.68
10295,Bekleidung Model 295,Bekleidung,,budget,41.37
10297,Ausrüstung Model 297,Ausrüstung,,premium,209.05
10298,Bekleidung Model 298,Bekleidung,,budget,39.12
10300,Ausrüstung Model 300,Ausrüstung,,mid,125.43
10301,Bekleidung Model 301,Bekleidung,,budget,65.05
10302,Bekleidung Model 302,Bekleidung,,mid,124.78
10303,Bekleidung Model 303,Bekleidung,,mid,106.33
10304,Schuhe Model 304,Schuhe,,mid,101.45
10310,Bekleidung Model 310,Bekleidung,,mid,99.06
10312,Ausrüstung Model 312,Ausrüstung,,premium,283.39
10314,Schuhe Model 314,Schuhe,,mid,93.56
10315,Bekleidung Model 315,Bekleidung,,mid,152.84
10318,Ausrüstung Model 318,Ausrüstung,,budget,49.92
10319,Ausrüstung Model 319,Ausrüstung,,premium,226.83
10320,Bekleidung Model 320,Bekleidung,,budget,37.78
10321,Schuhe Model 321,Schuhe,,premium,292.19
10322,Bekleidung Model 322,Bekleidung,,budget,23.36
10323,Ausrüstung Model 323,Ausrüstung,,premium,486.64
10325,Schuhe Model 325,Schuhe,,mid,115.77
10327,Bekleidung Model 327,Bekleidung,,mid,103.49
10328,Bekleidung Model 328,Bekleidung,,budget,79.63
10334,Ausrüstung Model 334,Ausrüstung,,premium,184.1
10335,Ausrüstung Model 335,Ausrüstung,,budget,44.83
10339,Ausrüstung Model 339,Ausrüstung,,mid,130.48
10341,Bekleidung Model 341,Bekleidung,,mid,100.34
10342,Ausrüstung Model 342,Ausrüstung,,mid,101.71
10345,Bekleidung Model 345,Bekleidung,,budget,45.29
10346,Bekleidung Model 346,Bekleidung,,mid,104.06
10348,Bekleidung Model 348,Bekleidung,,mid,151.03
10349,Bekleidung Model 349,Bekleidung,,mid,108.15
10350,Bekleidung Model 350,Bekleidung,,mid,94.98
10351,Schuhe Model 351,Schuhe,,premium,198.61
10352,Bekleidung Model 352,Bekleidung,,premium,221.25
10353,Ausrüstung Model 353,Ausrüstung,,premium,301.89
10354,Ausrüstung Model 354,Ausrüstung,,budget,40.91
10355,Bekleidung Model 355,Bekleidung,,budget,37.8
10356,Ausrüstung Model 356,Ausrüstung,,mid,95.83
10357,Bekleidung Model 357,Bekleidung,,mid,82.74
10359,Bekleidung Model 359,Bekleidung,,budget,52.7
10361,Bekleidung Model 361,Bekleidung,,budget,51.77
10362,Bekleidung Model 362,Bekleidung,,budget,56.43
10364,Schuhe Model 364,Schuhe,,budget,76.58
10365,Bekleidung Model 365,Bekleidung,,budget,36.2
10366,Schuhe Model 366,Schuhe,,budget,74.59
