product_id,product_name,category,price_tier,base_retail_price,valid_from,valid_to,is_current
10000,Bekleidung Model 0,Bekleidung,mid,99.99,2024-01-01,9999-12-31,true
10001,Schuhe Model 1,Schuhe,premium,310.47,2024-01-01,2025-05-01,false
10001,Schuhe Model 1,Schuhe,mid,258.98,2025-05-01,2026-02-16,false
10001,Schuhe Model 1,Schuhe,premium,310.47,2026-02-16,9999-12-31,true
10002,Schuhe Model 2,Schuhe,premium,195.43,2024-01-01,2024-05-01,false
10002,Schuhe Model 2,Schuhe,mid,166.09,2024-05-01,2026-02-16,false
10002,Schuhe Model 2,Schuhe,premium,195.43,2026-02-16,9999-12-31,true
10003,Bekleidung Model 3,Bekleidung,budget,57.62,2024-01-01,2025-05-01,false
10003,Bekleidung Model 3,Bekleidung,mid,73.55,2025-05-01,2026-02-16,false
10003,Bekleidung Model 3,Bekleidung,budget,57.62,2026-02-16,9999-12-31,true
10004,Ausrüstung Model 4,Ausrüstung,budget,79.13,2024-01-01,9999-12-31,true
10005,Ausrüstung Model 5,Ausrüstung,premium,209.42,2024-01-01,9999-12-31,true
10006,Ausrüstung Model 6,Ausrüstung,budget,58.9,2024-01-01,9999-12-31,true
10007,Schuhe Model 7,Schuhe,premium,303.61,2024-01-01,2025-10-01,false
10007,Schuhe Model 7,Schuhe,mid,257.47,2025-10-01,2026-02-16,false
10007,Schuhe Model 7,Schuhe,premium,303.61,2026-02-16,9999-12-31,true
10008,Bekleidung Model 8,Bekleidung,mid,165.28,2024-01-01,2025-05-01,false
10008,Bekleidung Model 8,Bekleidung,premium,201.28,2025-05-01,2026-02-16,false
10008,Bekleidung Model 8,Bekleidung,mid,165.28,2026-02-16,9999-12-31,true
10009,Schuhe Model 9,Schuhe,mid,96.1,2024-01-01,2025-05-01,false
10009,Schuhe Model 9,Schuhe,premium,116.18,2025-05-01,2026-02-16,false
10009,Schuhe Model 9,Schuhe,mid,96.1,2026-02-16,9999-12-31,true
10010,Ausrüstung Model 10,Ausrüstung,budget,44.74,2024-01-01,2024-05-01,false
10010,Ausrüstung Model 10,Ausrüstung,mid,56.2,2024-05-01,2026-02-16,false
10010,Ausrüstung Model 10,Ausrüstung,budget,44.74,2026-02-16,9999-12-31,true
10011,Schuhe Model 11,Schuhe,premium,239.11,2024-01-01,9999-12-31,true
10012,Schuhe Model 12,Schuhe,mid,114.75,2024-01-01,2025-10-01,false
10012,Schuhe Model 12,Schuhe,premium,146.06,2025-10-01,2026-02-16,false
10012,Schuhe Model 12,Schuhe,mid,114.75,2026-02-16,9999-12-31,true
10013,Ausrüstung Model 13,Ausrüstung,premium,353.0,2024-01-01,9999-12-31,true
10014,Ausrüstung Model 14,Ausrüstung,budget,48.61,2024-01-01,9999-12-31,true
10015,Ausrüstung Model 15,Ausrüstung,mid,97.56,2024-01-01,9999-12-31,true
10016,Bekleidung Model 16,Bekleidung,mid,81.71,2024-01-01,9999-12-31,true
10017,Bekleidung Model 17,Bekleidung,mid,83.78,2024-01-01,9999-12-31,true
10018,Bekleidung Model 18,Bekleidung,budget,62.18,2024-01-01,2025-10-01,false
10018,Bekleidung Model 18,Bekleidung,mid,80.6,2025-10-01,2026-02-16,false
